,ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,Tag
count,44296.0,44296.0,44296.0,44296.0,44296.0,44296.0,44296.0,44296.0,44296.0,44296.0
mean,0.49920533710203524,-16.062412604469483,1029.4900778013427,0.03073899289216359,-32.37820877109825,103.00796911685028,159.53145899420446,0.03165497172783498,0.20457469677324885,3.027225934621636
std,0.23612136505717118,523.4287874361463,1729.115848705194,0.023980743780263842,6.2656386276433595,81.87060045050505,14.290127448226329,0.01746652816614074,0.6438693227641821,0.16274299069845255
min,0.0,-12668.023,0.0,0.0016479995117038,-55.66085842637462,0.0,112.26784753861097,0.0,0.0,3.0
25%,0.30211741732102415,-84.6480945,30.8232845,0.0155339213232825,-36.15733010087525,57.0,151.4195329906386,0.016111058484969548,0.0576036866359447,3.0
50%,0.4873976248142756,-0.015398025499999999,279.61496,0.0251777703176976,-31.979654651835475,75.0,161.2722684188874,0.029687563519474998,0.1061571125265392,3.0
75%,0.7029805599474801,69.08569750000001,1243.9193500000001,0.0390331736198004,-28.164534229876608,116.0,169.7191293792265,0.04772258156864083,0.2,3.0
max,1.0,8538.211,34751.664,0.749656666768395,0.0,861.0,246.57656011875903,0.0744583155863648,50.0,4.0
