,Method,Postive,Negative,Sum,Accuracy
0,C4.5,6554,1635,8189,80.03419220906093%
0,ID3,6520,1669,8189,79.61900109903529%
0,CART,6510,1679,8189,79.4968860666748%
0,CHAID,6522,1667,8189,79.64342410550739%
0,Regression,6572,1617,8189,80.25399926730981%
