,ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,Tag
count,1090031.0,1090031.0,1090031.0,1090031.0,1090031.0,1090031.0,1090031.0,1090031.0,1090031.0,1090031.0
mean,0.5095238551743939,-4.974059977520277,660.6453374085738,0.03077051996018439,-32.700944638534956,98.47266729111374,158.5255236490526,0.029271423562270936,0.20711821897542673,2.658574847871299
std,0.21632271866792177,264.2796168806158,953.0215339598832,0.024938899440867347,6.88603637470958,77.03800756099282,15.278694273893723,0.015384617205162144,0.1926571255624727,1.9763182047660508
min,0.0010056081995745,-999.9945,0.0,0.0013428144169438,-57.43968009311023,0.0,110.32605218530936,3.94164321365555e-07,0.0,0.0
25%,0.34409057159999784,-75.733115,39.8507025,0.0140690328684347,-36.97837401173636,57.0,149.46273520042806,0.0164639025231057,0.0757002271006813,1.0
50%,0.5063400385049459,-0.02144456,241.46368,0.0241706595049897,-32.30139104970457,73.0,160.35572555908666,0.026630176436416,0.1396648044692737,2.0
75%,0.6757351248763183,66.96178,868.317585,0.0392773216956083,-28.076763125226098,108.0,169.39989639995107,0.041167984063656196,0.2652519893899204,5.0
max,0.9989809436461836,999.9618,4999.95,0.1999877925962096,-1.0013740609331627,973.0,210.90241183391004,0.0826404903720618,1.0,6.0
