,ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,Tag
count,283240.0,283240.0,283240.0,283240.0,283240.0,283240.0,283240.0,283240.0,283240.0,283240.0
mean,0.507712593759758,-3.83630247167872,665.6674085488646,0.02953964347700558,-32.77262143806437,100.26931930518289,158.71523644206144,0.02957812289008678,0.19119524445965702,3.7479310831803416
std,0.22459590431125426,262.65493657163256,976.1281347895292,0.022186219831270778,6.438792669442053,78.19290449404733,14.597581538302583,0.01614546007462001,0.1809898495512562,0.7114815686493731
min,0.0010070493454179,-999.85767,0.0,0.0014954069643238,-56.68390887532223,0.0,110.6982901622268,1.189680171717506e-05,0.0,3.0
25%,0.32672178301981286,-69.04639,33.351032,0.0145268105105746,-36.70202335454271,58.0,150.24029290879082,0.0158821195891103,0.0709219858156028,3.0
50%,0.4985084803545555,-0.00646400465,226.27211,0.0240485854670857,-32.345203952880446,74.0,160.43469159780503,0.026623713020457553,0.1287001287001287,4.0
75%,0.6917837660508144,62.719299,872.0052,0.0378124332407605,-28.43329799285938,111.0,169.07649437038265,0.04244870118396818,0.2421307506053268,4.0
max,0.9989809436461836,999.8505,4999.026,0.1997131260109256,-2.5027518486313687,935.0,205.8036003347027,0.0826340876324384,1.0,5.0
