COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,BRIGHTNESS_BOOLEAN,brightness,Tag,Zeit,LABEL
1,[[ True]],[[0.3837355]],[[ True]],[[0.5278363]],0,0,0,0.02478102969450972,0,0,246.57656011875906,0,1,[[ True]],144.78862847222223,5,01:15,Programm
2,[[ True]],[[0.3841909]],[[ True]],[[0.5273747]],0.22675736961451248,2.9433517,14.761589,0.0239265114291818,-32.11761303801047,54,161.10189803275253,0.004562931483542664,0.5347593582887701,[[ True]],144.85460069444446,5,01:15,Programm
3,[[ True]],[[0.26210308]],[[ True]],[[0.58383983]],0.6778197517539126,26.566265,441.4028,0.02816858424634541,-31.233539788169402,42,152.8148097155471,0.04898748799053567,0.546448087431694,[[ True]],89.56380208333333,5,01:15,Programm
4,[[ True]],[[0.2562846]],[[ True]],[[0.59106493]],0.6015291207555655,45.99852,110.00491,0.03967406231879635,-31.649117184370013,44,160.22988642497592,0.03324734929080255,0.6896551724137931,[[ True]],89.73567708333333,5,01:15,Programm
