COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,Tag,Zeit,LABEL
15346,[[ True]],[[0.0225966]],[[ True]],[[0.98559684]],0.23511193449392598,-131.07758,374.97818,0,76.98177083333333,432,16.864397929249858,0.01761497966674702,0.0158052789631737,3,17:24,PROGRAMM
15329,[[ True]],[[0.11220007]],[[ True]],[[0.98823124]],0.1564506880733945,0.00064086914,0.00064086914,0,128.84982638888889,97,99.81742900059305,0.006444166678141784,0.05906674542232723,3,19:56,PROGRAMM
15384,[[False]],[[1.]],[[False]],[[0.03792268]],0.0,0.0,0.0,0,2.4483506944444446,105,103.4343102783363,0.0,0.07142857142857142,3,19:57,PROGRAMM
15400,[[ True]],[[0.08496273]],[[ True]],[[0.9838866]],0.4295771213032663,427.19574,1268.884,0,138.3075,87,100.96360607719534,0.02778942211734241,0.0333889816360601,3,19:57,PROGRAMM
15694,[[ True]],[[0.33157593]],[[ True]],[[0.764167]],0.6134761034212588,-492.293,3879.3467,0,134.18793402777777,116,101.59085442454175,0.04406928969860426,100,3,20:10,PROGRAMM
15720,[[False]],[[1.]],[[False]],[[-0.09857264]],0.12032133798856003,-112.191025,309.12323,0,3.205295138888889,96,102.8515492289325,0.009548550778025534,100,3,20:10,PROGRAMM
16172,[[ True]],[[0.2064172]],[[ True]],[[0.8214151]],0.7678933757708375,383.9996,2164.972,0,89.30598958333333,111,101.82111772717649,0.05156270218566051,100,3,20:15,PROGRAMM
