COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,BRIGHTNESS_BOOLEAN,brightness,Tag,Zeit,LABEL
1,[[ True]],[[0.01470182]],[[ True]],[[0.9985099]],0,0,0,0.0206610309152501,0,0,246.57656011875906,0,1,[[ True]],79.53342013888889,0,00:04,Programm
2,[[ True]],[[0.01670661]],[[ True]],[[0.99849623]],0.663109756097561,-0.21277618,0.40833282,0.022247993408001952,-33.696960249131095,111,162.22568640828118,0.00919878228854202,2.380952380952381,[[ True]],78.94053819444444,0,00:04,Programm
3,[[ True]],[[0.01644203]],[[ True]],[[0.99893266]],0.7426900584795322,-18.265366,18.856873,0.011291848506118961,-30.466503867094985,150,161.52111295789243,0.017021043297624164,2.3255813953488373,[[ True]],79.02647569444444,0,00:04,Programm
4,[[ True]],[[0.01804623]],[[ True]],[[0.99926585]],0.8886629384850026,-23.452126,43.41758,0.015900143436994536,-37.94777168859212,117,150.40490662560933,0.013909309585452384,1.7857142857142858,[[ True]],78.27256944444444,0,00:04,Programm
5,[[ True]],[[0.01646452]],[[ True]],[[0.99913204]],0.8886629384850026,-0.46579742,0.46579742,0.013489181188390759,-37.12943676954528,112,153.8520661130492,0.02087584422785221,0.9900990099009901,[[ True]],79.28428819444444,0,00:04,Programm
6,[[ True]],[[0.02105217]],[[ True]],[[0.9987213]],0.42857142857142855,0.39953613,0.4715271,0.043427838984344005,-37.40028823585214,155,155.63714583601953,0.02132125603530242,2.7027027027027026,[[ True]],79.41102430555556,0,00:04,Programm
7,[[ True]],[[0.01820811]],[[ True]],[[0.99894285]],0.3050314465408805,-0.0749588,0.5165329,0.01370281075472274,-27.244635621148294,48,169.76656985904975,0.018144132629988,3.4482758620689653,[[ True]],78.34982638888889,0,00:04,Programm
8,[[ True]],[[0.01889664]],[[ True]],[[0.9993089]],0.0,-0.067718506,0.63842773,0.019104586931974244,-37.26380680276752,112,154.47007139640002,0.021690023775708486,5.882352941176471,[[ True]],78.85546875,0,00:04,Programm
9,[[ True]],[[0.01584244]],[[ True]],[[0.99919313]],0.0,0.07218933,0.34928894,0.0630817590868862,-34.377246958625385,91,161.14750314274045,0.012365081807141826,9.090909090909092,[[ True]],78.90060763888889,0,00:04,Programm
10,[[ True]],[[0.01603184]],[[ True]],[[0.9993399]],0.0,-0.05758667,0.16455078,0.012115848261970886,-24.001924090288217,395,197.87220136092338,0.0034946872706628188,8.333333333333334,[[ True]],78.80946180555556,0,00:04,Programm
11,[[ True]],[[0.01870746]],[[ True]],[[0.9642323]],0.7552140504939627,-0.5103531,1.8372421,0.01217688528092288,-38.332923487571676,117,154.23687612764815,0.024067735156414163,7.6923076923076925,[[ True]],87.11631944444444,0,00:04,Programm
12,[[ True]],[[0.023499]],[[ True]],[[0.9799419]],0.7051377513030529,-15.070625,61.489433,0.019684438612018188,-38.289275709099016,117,156.78116899399845,0.014554939632551464,0.9174311926605505,[[ True]],82.20399305555556,0,00:04,Programm
22,[[False]],[[1.]],[[False]],[[-0.26695457]],0.0,0.0,0.0,0.013885921811578723,-37.65958777913949,119,154.28614353518824,0.0,1,[[False]],37.283420138888886,0,00:04,Werbung Grenze
