COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,BRIGHTNESS_BOOLEAN,brightness,Tag,Zeit,LABEL
1,[[ True]],[[0.2500146]],[[ True]],[[0.5879663]],0,0,0,0.029541917172765282,-31.24320688948789,0,246.57656011875906,0,1,[[ True]],115.03862847222223,5,01:08,Programm
2,[[ True]],[[0.24480473]],[[ True]],[[0.5976102]],0.5618500645687488,-106.50284,288.70285,0.04760887478255562,-32.70389810492437,63,166.47867153264983,0.03152436515236153,0.05733944954128441,[[ True]],113.45225694444444,5,01:08,Programm
3,[[ True]],[[0.24775222]],[[ True]],[[0.5911407]],0.6245908750345045,-175.23486,3307.7842,0.03558458204901273,-27.398590194640725,78,175.96485344458534,0.03300095787275733,0.06451612903225806,[[ True]],113.27300347222223,5,01:08,Programm
4,[[ True]],[[0.24622265]],[[ True]],[[0.59366494]],0.6268432784636488,-567.06366,3957.4949,0.16211432233649709,-29.802616317538572,67,166.40445071295218,0.03303021346802379,0.07524454477050414,[[ True]],112.31119791666667,5,01:09,Programm
5,[[ True]],[[0.24488632]],[[ True]],[[0.5957752]],0.5199881988493879,176.44998,407.36514,0.07892086550492874,-16.003713045256994,48,196.66123917555922,0.028665749045085797,0.08771929824561403,[[ True]],112.37586805555556,5,01:09,Programm
6,[[ True]],[[0.24869934]],[[ True]],[[0.589082]],0.56723751371464,176.17145,275.64926,0.03488265633106479,-22.056163211946473,35,180.56279229282353,0.0287434122114591,0.08795074758135445,[[ True]],113.27430555555556,5,01:09,Programm
7,[[ True]],[[0.2529304]],[[ True]],[[0.5823606]],0.6374169971923882,160.8345,635.5008,0.03939939573351237,-29.147809014928345,55,165.66596123553788,0.03102993952721824,0.08291873963515754,[[ True]],115.53342013888889,5,01:09,Programm
8,[[ True]],[[0.25665858]],[[ True]],[[0.586854]],0.6000859660434128,733.8369,1188.0872,0.23181859797967466,-29.536330383839925,53,170.4133904783833,0.030939064559234942,0.07457121551081283,[[ True]],120.70616319444444,5,01:09,Programm
9,[[ True]],[[0.35836014]],[[ True]],[[0.5449682]],0.8754898403483309,-320.20953,4844.635,0.03830072939237648,-12.64686645132018,25,200.04413524180686,0.0554671837854276,0.06958942240779402,[[ True]],159.59635416666666,5,01:09,Programm
10,[[ True]],[[0.25397578]],[[ True]],[[0.5965691]],0.9741291727140784,220.36432,10264.564,0.06567583239234596,-28.426301706022752,56,170.89206345682126,0.059141799023045644,0.026420079260237782,[[ True]],92.37934027777777,5,01:09,Programm
11,[[ True]],[[0.5566284]],[[ True]],[[0.6174615]],0.8232357612888587,-175.37607,7447.869,0.054048280281991025,-24.060954635422142,301,178.15798478250213,0.05337501003789672,0.29239766081871343,[[ True]],158.74826388888889,5,01:09,Programm
12,[[ True]],[[0.25884196]],[[ True]],[[0.57796806]],0.6340598073998986,3008.2283,12682.647,0.038453321939756466,-25.344362399032484,70,182.07486951806194,0.051418245528698385,0.7194244604316546,[[ True]],114.94487847222223,5,01:09,Programm
