COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,BRIGHTNESS_BOOLEAN,brightness,Tag,Zeit,LABEL
1,[[ True]],[[0.0400346]],[[ True]],[[0.9799199]],0,0,0,0.0195623645741142,0,0,246.57656011875906,0,1,[[ True]],115.21137152777777,3,12:27,Programm
2,[[ True]],[[0.03980049]],[[ True]],[[0.9797517]],0.16813219238713484,1.2957015,7.6592574,0.03317361980040895,-29.794425944807163,72,165.47466055320652,0.007809623332721918,0.1607717041800643,[[ True]],115.34331597222223,3,12:27,Programm
3,[[ True]],[[0.12452439]],[[ True]],[[0.7550642]],0.7615222162408382,-725.08685,2426.8403,0.05383465071565905,-28.834366615911527,66,165.02428645255472,0.05322239472205836,0.1497005988023952,[[ True]],117.74696180555556,3,12:27,Programm
4,[[ True]],[[0.03886183]],[[ True]],[[0.9794996]],0.7690173506149323,-364.28073,1354.2566,0.04541154210028382,-25.37876200691796,79,177.75262042916637,0.053336844568214636,0.12165450121654502,[[ True]],114.8984375,3,12:27,Programm
5,[[ True]],[[0.08964522]],[[ True]],[[0.9782806]],0.7978636762310487,-237.4291,567.85333,0.1326639606921598,-26.85667499863678,69,172.9976165908858,0.05372154831561468,0.1620745542949757,[[ True]],129.34375,3,12:27,Programm
6,[[ True]],[[0.15651509]],[[ True]],[[0.97943056]],0.6709998747024183,-241.30656,343.28284,0.059205908383434556,-20.61988946998584,66,183.13879284393957,0.0453312188906496,0.07293946024799416,[[ True]],139.82465277777777,3,12:27,Programm
7,[[ True]],[[0.0212135]],[[ True]],[[0.9532412]],0.7336072112316528,-252.84198,3165.0986,0.04739524521622364,-25.507738180581025,68,179.446829426858,0.04414203507408811,0.09407337723424271,[[ True]],96.76519097222223,3,12:27,Programm
8,[[ True]],[[0.05700025]],[[ True]],[[0.9202573]],0.7760280353102958,-305.62048,1822.9166,0.02847376934110538,-26.485304508262807,80,172.8662935767341,0.05401965036005707,0.10775862068965517,[[ True]],130.22612847222223,3,12:27,Programm
9,[[ True]],[[0.01932877]],[[ True]],[[0.9777848]],0.7790231412145514,-339.26575,2166.155,0.022858363597521896,-30.39602973088298,108,169.28877997901853,0.046890632999365564,0.12150668286755771,[[ True]],87.18836805555556,3,12:27,Programm
10,[[ True]],[[0.01748023]],[[ True]],[[0.9794851]],0.6224886118436825,-64.18793,238.52985,0.023987548448133795,-30.690494867297108,111,163.97056411856,0.048160729305812604,0.11890606420927467,[[ True]],87.73263888888889,3,12:27,Programm
11,[[ True]],[[0.01762932]],[[ True]],[[0.9794129]],0.7558362234070086,-384.72906,1224.8005,0.10132145146031069,-32.40028270204582,100,165.28821334802848,0.04700994033642233,0.13440860215053763,[[ True]],87.78559027777777,3,12:27,Programm
