Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17
45;[[ True]];[[0.01150358]];[[ True]];[[0.98442787]];0.806935817805383;-36.92719;71.044525;0;84.30859375;209;142.64627071418226;0.02429641635938567;0.6802721088435374;3;13:45;PROGRAMM
5;[[ True]];[[0.0128715]];[[ True]];[[0.9861637]];0.8726655348047538;3.470459;60.95497;0;81.39322916666667;17;141.06364503166674;0.01893098419909561;2.6315789473684212;3;13:45;PROGRAMM
5;[[ True]];[[0.01354501]];[[ True]];[[0.98400486]];0.32637714951909064;-17.641884;17.95868;0;97.48133680555556;432;16.864397929249858;0.011105707182935073;0.09861932938856016;3;13:05;PROGRAMM
544;[[ True]];[[0.01485116]];[[ True]];[[0.9897894]];0.7929943915775269;881.73895;5484.3965;0;96.38541666666667;33;141.56198137066463;0.049641356312756374;0.019627085377821395;3;13:49;PROGRAMM
2308;[[ True]];[[0.0204547]];[[ True]];[[0.9780094]];0.9641536971614857;549.6416;5904.9277;0;0;197;92.32097053495542;0.037330671186359334;0.06724949562878278;3;05:19;PROGRAMM
11611;[[ True]];[[0.02150384]];[[ True]];[[0.98558885]];0.0;0.027427673;0.12130737;0;77.11371527777777;215;38.74997174014725;7.746243986825579e-06;0.21008403361344538;3;15:11;PROGRAMM
2385;[[ True]];[[0.0402528]];[[ True]];[[0.9854763]];0.7557710398726392;-38.18272;55.341503;0;0;406;16.62221320695392;0.04219994138125834;0.07739938080495357;3;05:20;PROGRAMM
15318;[[ True]];[[0.04027396]];[[ True]];[[0.96439874]];0.8906564821219138;405.50238;3423.2888;0;110.27213541666667;28;90.15242083096585;0.05587096419825809;0.05678591709256105;3;15:38;PROGRAMM
5359;[[ True]];[[0.04925048]];[[ True]];[[0.963414]];0.295531914893617;-1.2932568;22.083681;0;112.71180555555556;90;78.19375141053692;0.01847842808032015;0.08116883116883117;3;14:25;PROGRAMM
2336;[[ True]];[[0.05168265]];[[ True]];[[0.96911824]];0.140533242236429;4.125107;58.0266;0;0;351;16.5035288796762;0.029465577351238476;0.05350454788657036;3;05:19;PROGRAMM
57267;[[ True]];[[0.08228304]];[[ True]];[[0.8808262]];0.0;0.0;0.0;0;98.94140625;420;16.631418767410416;0.0;0.04486316733961418;3;12:29;PROGRAMM
14535;[[ True]];[[0.09075038]];[[ True]];[[0.89632475]];0.08231667322576414;-282.34064;282.61664;0;108.34635416666667;51;151.33265394473298;0.00799034146177614;0.05913660555884092;3;15:32;PROGRAMM
14614;[[ True]];[[0.09230777]];[[ True]];[[0.8739091]];8.400537634408603e-05;-0.26238394;3.5666919;0;89.82552083333333;35;130.90225579705628;0.007999074806386595;0.08216926869350863;3;15:33;PROGRAMM
2775;[[ True]];[[0.10475427]];[[ True]];[[0.9562506]];0.33345253486644844;94.355255;761.52515;0;133.81380208333334;104;129.3017441693701;0.02904766243025968;0.027855153203342618;3;14:06;PROGRAMM
4333;[[ True]];[[0.12158512]];[[ True]];[[0.87155855]];0.6915766557816294;208.73451;232.31313;0;117.21527777777777;5;123.07524811225932;0.04911719980581129;0.10471204188481675;3;14:17;PROGRAMM
14177;[[ True]];[[0.19112484]];[[ True]];[[0.92447084]];0.6260925256178421;90.49938;872.8037;0;131.81423611111111;29;123.78032858284729;0.042928216664784476;0.0757002271006813;3;15:30;PROGRAMM
14103;[[ True]];[[0.2864703]];[[ True]];[[0.7467701]];0.4745785389349746;43.355743;65.687614;0;127.85894097222223;140;159.96121850819827;0.04158187748380981;0.12135922330097088;3;15:29;PROGRAMM
6402;[[ True]];[[0.28707907]];[[ True]];[[0.7421749]];0.9115401449204883;36.530228;1237.2134;0;113.83246527777777;72;153.51711751795813;0.05577117567513885;0.1145475372279496;3;14:33;PROGRAMM
281;[[ True]];[[0.2872454]];[[ True]];[[0.74006164]];0.8588221867153618;10.818268;40.570084;0;0;172;76.55460925103061;0.05845339335836777;0.0796812749003984;3;04:42;PROGRAMM
6439;[[ True]];[[0.2913835]];[[ True]];[[0.7442727]];0.5396783779059605;-1.0227661;1.8941116;0;88.63368055555556;18;143.45805668690315;0.023019101260823165;0.16806722689075632;3;14:33;PROGRAMM
423;[[ True]];[[0.2919982]];[[ True]];[[0.7458433]];0.15710654667857388;-0.0038852692;0.011606216;0;0;403;16.54381532036455;0.0035445588391099362;0.21505376344086022;3;04:43;PROGRAMM
14041;[[ True]];[[0.29722816]];[[ True]];[[0.7312407]];0.3171703326122807;171.09306;2209.0525;0;125.96354166666667;190;156.9140983095607;0.01888648323246792;0.04132231404958678;3;15:29;PROGRAMM
2521;[[ True]];[[0.29723623]];[[ True]];[[0.74328613]];0.0;0.0032539368;0.068042755;0;88.93706597222223;46;140.45741873516505;0.012233905536103236;8.333333333333334;3;14:04;PROGRAMM
