,ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,Tag
count,283280.0,283280.0,283280.0,283280.0,283280.0,283280.0,283280.0,283280.0,283280.0,283280.0
mean,0.507734210210191,-3.8240793726998,665.5890066309927,0.029541838204721442,-32.77220891906741,100.27140638237786,158.71620101598648,0.029577567083523777,0.19116877948585584,3.7479137249364585
std,0.22459568394411575,262.64886890931945,976.0850969880054,0.022189985846056425,6.4389252548797495,78.19327284293111,14.597643655984141,0.01614616032855793,0.18099077242590503,0.7114858632898429
min,0.0010070493454179,-999.85767,0.0,0.0014954069643238,-56.68390887532223,0.0,110.6982901622268,1.189680171717506e-05,0.0,3.0
25%,0.3267391104861417,-69.0118525,33.339451499999996,0.0145268105105746,-36.70202335454271,58.0,150.24113024405514,0.015881162156480874,0.070871722182849,3.0
50%,0.4985307099209486,-0.0061266423,226.243385,0.0240791039765617,-32.345203952880446,74.0,160.43510059019212,0.02662355593041225,0.1287001287001287,4.0
75%,0.6918100175580979,62.718723,871.91547,0.0378124332407605,-28.43329799285938,111.0,169.07719277966424,0.042447604924118025,0.2421307506053268,4.0
max,0.9989809436461836,999.8505,4999.026,0.1997131260109256,-2.5027518486313687,935.0,205.8036003347027,0.0826340876324384,1.0,5.0
