,ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,Tag
count,61706.0,61706.0,61706.0,61706.0,61706.0,61706.0,61706.0,61706.0,61706.0,61706.0
mean,0.47001101609727464,-4.1185658512582135,633.5921589672915,0.0304059006964854,-32.559292268357275,99.6184811849739,158.5332253788827,0.029415344811565214,0.14695106145469453,3.037403169870029
std,0.22116461716917626,252.89857603699534,961.2594595453185,0.023239693902390432,6.427906627123078,81.0560661810358,14.274453496445442,0.016778685829010424,0.14236411159750123,0.18974919299549986
min,0.0010070493454179,-998.2738,0.0,0.0016479995117038,-55.66085842637462,0.0,112.26784753861097,0.0002982848987797,0.0037703,3.0
25%,0.2862260700824719,-60.856636,23.335625,0.0148319956053346,-36.522556440361576,56.0,150.20167591436797,0.0149630373883691,0.0569476082004555,3.0
50%,0.4432756324900133,-0.011802673,197.59772,0.0242011780144657,-32.31232357429205,72.0,160.02139688337266,0.0255432562351963,0.1013171225937183,3.0
75%,0.6531363256202956,54.11828,813.2753,0.0388500625629444,-28.20534506284735,110.0,168.64087623513274,0.0441271356107942,0.1814882032667876,3.0
max,0.9957310955030556,999.6854,4994.4844,0.1997131260109256,-2.5027518486313687,861.0,202.0608547151959,0.0706827208568922,1.0,4.0
