,ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,Tag
count,18042.0,18042.0,18042.0,18042.0,18042.0,18042.0,18042.0,18042.0,18042.0,18042.0
mean,0.5118701159105972,-12.47927898778238,875.3579130119972,0.03042583077440143,-31.903793172036274,113.88992351180579,162.35903510481347,0.03332455305918961,0.19915434156515915,3.0
std,0.24399066388172228,297.387116964367,1143.8142685680198,0.018962872901936344,5.6392640195799615,83.2575731041419,13.57384158833792,0.017539934737837645,0.18218472035494315,0.0
min,0.0011355893708834,-999.64026,0.0,0.0018311105685598,-55.19123650938415,0.0,112.27210462262524,6.549108656791054e-05,0.0,3.0
25%,0.3198017819601562,-99.96207,34.85314,0.0175786614581743,-35.01027392983621,62.0,155.5542617376048,0.018400238122004,0.0720461095100864,3.0
50%,0.5267381482230764,-0.0039978027,358.26025,0.0271919919431135,-31.30143653531152,87.0,164.52995649862922,0.033449024342,0.1338688085676037,3.0
75%,0.7101831337465294,71.95642,1315.8252,0.0389110995818964,-28.150973119178005,135.0,171.72541544893153,0.0481327793907588,0.2652519893899204,3.0
max,0.9989809436461836,993.89355,4998.6406,0.1892147587511826,-4.286396705321376,696.0,193.584757280826,0.0744583155863648,1.0,3.0
