,ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,Tag
count,1129570.0,1129570.0,1129570.0,1129570.0,1129570.0,1129570.0,1129570.0,1129570.0,1129570.0,1129570.0
mean,0.5190958048234475,-7.953612720142813,815.901849138896,0.03084615998919361,-32.684965544357546,92.71594146445108,158.5686868821083,0.030005108527276645,0.20320525938933096,2.6635861433997006
std,0.21797073357029115,382.1220935646639,1209.7258695521182,0.024929019826176478,6.88735953800295,59.0344115596211,15.303876310697975,0.015619221904579943,0.19106176037920375,1.9782985258612615
min,0.0010056081995745,-2499.8518,0.0,0.0013428144169438,-57.43968009311023,0.0,110.32605218530936,3.94164321365555e-07,0.0,0.0
25%,0.3517739406306163,-86.19779125,45.060089,0.0141300698873867,-36.9596745650349,57.0,149.50535913773294,0.016852773769895524,0.0734753857457751,1.0
50%,0.5183605595554763,-0.026988983,276.71466,0.0242622150334177,-32.26867579581939,72.0,160.4300866578006,0.027596232300202347,0.1360544217687075,2.0
75%,0.6898304077120503,75.067703,1051.692825,0.0393993957335123,-28.05663359214249,106.0,169.47026426289455,0.042399573641865626,0.2590673575129533,5.0
max,0.998985936540976,2499.9932,6499.984,0.1999877925962096,-1.0013740609331627,400.0,210.90241183391004,0.0826404903720618,1.0,6.0
