COUNT_OF_ITERATIONS,logoIndicationBooleanSQDIFF,resTM_SQDIFF_NORMED.max(),logoIndicationBooleanCCOEFF,resTM_CCOEFF_NORMED.max(),ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,BRIGHTNESS_BOOLEAN,brightness,Tag,Zeit,LABEL
1,[[ True]],[[0.2638084]],[[ True]],[[0.5897952]],0,0,0,0.034546952726828825,-28.03655060137342,0,246.57656011875906,0,1,[[ True]],87.74913194444444,5,01:13,Programm
2,[[ True]],[[0.26410088]],[[ True]],[[0.58646]],0.8517060367454068,-26.077633,26.743008,0.03543198950163274,-30.672361479420708,60,164.82222252567624,0.03466129251333237,1.1363636363636365,[[ True]],89.36805555555556,5,01:13,Programm
3,[[ True]],[[0.25562188]],[[ True]],[[0.5756858]],0.7908067542213884,0.137249,3.4375496,0.03076265755180517,-30.91110074790398,55,166.14163388715968,0.039327754344038464,1.492537313432836,[[ True]],95.21788194444444,5,01:13,Programm
4,[[ True]],[[0.2843787]],[[ True]],[[0.58818924]],0.7908067542213884,-250.76581,347.9321,0.0522171697134312,-28.88582781381232,633,167.98753661692595,0.039015246175054925,0.6578947368421053,[[ True]],82.22439236111111,5,01:13,Programm
5,[[ True]],[[0.2784733]],[[ True]],[[0.59072477]],0.7051546391752578,-0.17383194,0.3434105,0.04638813440351573,-24.34914873964673,54,174.5691161822639,0.023350018067036408,1.5151515151515151,[[ True]],82.85633680555556,5,01:13,Programm
6,[[ True]],[[0.2752537]],[[ True]],[[0.5903898]],0.6645669291338583,0.025875092,0.38258743,0.06616412854396192,-28.461339630251565,45,164.59048340718348,0.023373070324129434,1.639344262295082,[[ True]],84.11588541666667,5,01:13,Programm
7,[[ True]],[[0.26964974]],[[ True]],[[0.5893277]],0.8220472440944881,0.08329773,0.66619873,0.059602649006622516,-23.44450181923903,49,171.04426277502307,0.03989099941676578,1.408450704225352,[[ True]],86.19748263888889,5,01:13,Programm
8,[[ True]],[[0.2679944]],[[ True]],[[0.5640022]],0.6942590120160214,8.127617,21.990616,0.027253028962065492,-24.49468875707689,44,172.30555163307324,0.03724035425456662,1.1494252873563218,[[ True]],95.43229166666667,5,01:13,Programm
9,[[ True]],[[0.25325438]],[[ True]],[[0.5854119]],0.9054621848739496,-0.62018204,1.216938,0.006500442518387402,-31.291704445063047,48,160.9969082555259,0.043575090185102465,3.7037037037037037,[[ True]],90.65364583333333,5,01:13,Programm
10,[[ True]],[[0.27428395]],[[ True]],[[0.5931624]],0.9054621848739496,21.064217,49.63501,0.013336588641010774,-39.9912567486004,69,137.63014228442896,0.04145922538541452,0.8130081300813008,[[ True]],83.80425347222223,5,01:13,Programm
11,[[ True]],[[0.27510458]],[[ True]],[[0.5922131]],0.7862728062554301,0.0940094,0.23719788,0.03088473158970916,-37.341533403215344,66,148.4895947723935,0.021237733691726882,2.5,[[ True]],83.07118055555556,5,01:13,Programm
