15,[[ True]],[[0.29632708]],[[ True]],[[0.74409664]],0.0,0.005355835,0.032058716,0.0,0,363,16.13012297874178,0.0024882963404399294,6.666666666666667,False,88.81640625,4,22:46,Programm Grenze
63,[[False]],[[1.]],[[False]],[[-0.05987597]],0.3120682480233042,-398.82285,442.39648,0.0,0,363,16.13012297874178,0.012531408612404288,0.10482180293501048,False,12.976996527777779,4,22:46,Werbung Grenze
72,[[ True]],[[0.34098673]],[[ True]],[[0.706882]],0.5269239315606251,-21.083454,82.70366,0.00445570238349559,-34.83300472321011,61,154.28579974185018,0.039298673671802765,0.11061946902654868,False,169.35980902777777,4,22:47,Programm Grenze
116,[[False]],[[0.5601943]],[[False]],[[0.087795]],0.595050618672666,-1110.1318,1140.2244,0.014648884548478652,-32.21442271726036,44,159.16015360424075,0.03087020858122306,0.17094017094017094,False,161.53776041666666,4,22:47,Werbung Grenze
145,[[ True]],[[0.2917324]],[[ True]],[[0.7443503]],0.7296613741745117,-0.31133652,9.375622,0.02359080782494583,-49.40227404710083,284,128.50601571441027,0.06273554283516292,0.18726591760299627,False,88.80902777777777,4,22:48,Programm Grenze
213,[[False]],[[1.]],[[False]],[[0.23638512]],0.6291110817593448,-994.49243,996.1116,0.008209479049043246,-34.5879094179829,67,149.47093343136757,0.013767946324300818,0.1221001221001221,False,102.35980902777777,4,22:48,Werbung Grenze
355,[[ True]],[[0.17413053]],[[ True]],[[0.8195742]],0.9203993169578353,-149.19943,914.49646,0.02554399243140965,-45.6488114149909,162,123.10173869685514,0.0555583419053393,0.19083969465648856,False,165.35,4,22:49,Programm Grenze
31,[[ True]],[[0.3128744]],[[ True]],[[0.7042916]],0.8475299364910069,214.7807,221.29898,0.0173650318918424,-33.44407806087379,38,142.5716842307138,0.053438870992137746,0.10214504596527069,False,138.56857638888889,4,23:02,Programm Grenze
81,[[False]],[[0.56504923]],[[False]],[[-0.01630872]],0.6831361213982476,-1289.147,1355.6714,0.01718192083498642,-39.086705949852856,282,154.4781792769988,0.030629725152028525,0.17921146953405018,False,162.19704861111111,4,23:02,Werbung Grenze
109,[[ True]],[[0.2916767]],[[ True]],[[0.744437]],0.5150737042320495,-1.1722336,1.7128525,0.022095400860621967,-33.645791384578274,34,146.91259836546539,0.02325468408463992,0.15503875968992248,False,88.94574652777777,4,23:02,Programm Grenze
174,[[False]],[[1.]],[[False]],[[0.26944166]],0.4985389404141786,-543.7804,549.1433,0.021698660237434005,-33.49406893059785,51,150.1049025304234,0.012476894173178401,0.11890606420927467,False,102.38020833333333,4,23:02,Werbung Grenze
305,[[ True]],[[0.16355585]],[[ True]],[[0.8254993]],0.9455696202531646,-95.40939,1129.4597,0.02099673451948607,-45.6997551952685,157,122.34199329932991,0.055156145226786184,0.1926782273603083,False,163.8745,4,23:03,Programm Grenze
