,Method,Postive,Negative,Sum,Accuracy
0,C4.5,7421,768,8189,90.62156551471486%
0,ID3,7494,695,8189,91.51300525094639%
0,CART,7432,757,8189,90.75589205031139%
0,CHAID,7441,748,8189,90.86579557943583%
0,Regression,6572,1617,8189,80.25399926730981%
